n_Gen,n_Eval,general_HV,n_valid,valid_HV,min_CV,mean_CV,max_CV,time
46,9400,0.19639096596413325,3,0.0,0.0,319.0442366311392,17519.33621848285,9109.43997066599
47,9600,0.20718457646606175,1,0.0,0.0,954.4675738900984,73061.05127745272,10852.535822917009
48,9800,0.17566342451467165,1,0.0,0.0,560.4766796790186,69628.65701566957,9782.501256167016
49,10000,0.1813503772311662,1,0.0,0.0,9003.537653771597,1582612.8557191708,7914.135107209004
50,10200,0.1849974123345029,0,0.0,0.17581802197756247,2049.2717655671768,368540.3178785744,9234.736366041005
51,10400,0.18404098978741293,2,0.0,0.0,229.05108548890675,4617.279476199871,7054.018563416001
52,10600,0.19099192584819738,0,0.0,0.48655711211650043,211.17965704894996,623.5887073857929,5140.715678959008
53,10800,0.22274460809799013,0,0.0,0.24164373822322782,613.1224130895333,82726.1425830676,4988.844863041013
54,11000,0.2198933837676155,0,0.0,3.838227087612862,4061.117982366608,677710.1237684507,6281.360725958017
55,11200,0.19825318761504485,0,0.0,6.858636206185203,202.37314090823492,347.30979080491704,6229.906433417025
56,11400,0.17123413678482619,0,0.0,0.6128347307289331,186.35580441382604,1750.6100729042644,5613.781694542005
57,11600,0.18658089412606227,1,0.0,0.0,185.79113731479498,351.56971811950405,4886.9412426250055
58,11800,0.19199207829684428,1,0.0,0.0,186.0463358310091,408.0091737227208,5131.199495415989
59,12000,0.23854999614857061,1,0.0,0.0,375.96786151823324,37477.1614396454,6349.684865707997
60,12200,0.1960830597133447,0,0.0,0.6453293828776688,1118.899201611337,186295.34332679954,9758.638419250026
61,12400,0.18403454123967936,3,0.05393041073247227,0.0,2052.3515583698913,240211.62506454598,11578.036782500043
62,12600,0.2163307272893701,1,0.0,0.0,21971.13603311561,4095877.9408501233,5837.451037332998
63,12800,0.19402384419934987,1,0.0,0.0,187.91304498959923,1247.4080763149168,6067.958467790973
64,13000,0.2126696391871582,1,0.030316032850150755,0.0,740.6518836219908,113419.55116332126,8435.637466125016
65,13200,0.23848431015071728,2,0.0,0.0,713.7401662880178,109183.11535114629,6745.089440416021
66,13400,0.22759694986364976,4,0.01720665529751712,0.0,787.513988068495,60706.05500342756,5563.787455249985
67,13600,0.21288143697939363,1,0.0,0.0,208.57421798359712,609.0144767115593,8738.854778625013
