SpecificEnergy,SEIGrouth,TempIncrease,Price,UpperViolation,LowerViolation,SimTime,Failure,C,la,lp,lo,ln,lz,Lh,Rc,Rp,Rn,ve_p,ve_o,ve_n,mat,Ns,Np
0.0,nan,0.0,2951.290294412605,190.9853825586691,-195.7853825586691,24.560860174999107,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,58,58
0.0,nan,0.0,3918.092287409838,190.9853825586691,-195.7853825586691,24.008943918001023,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,58,77
8.756619374072814,1.805030756887823e-15,0.6061061592500323,4884.89428040707,107.75499186710041,-112.55499186710043,25.59327571599715,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,58,96
0.0,nan,0.0,67.55331530016963,270.0599044313366,-274.85990443133664,24.443572594995203,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,77,1
0.0,nan,0.0,1351.0663060033926,270.0599044313366,-274.85990443133664,25.13156524599617,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,77,20
0.0,nan,0.0,2634.579296706615,270.0599044313366,-274.85990443133664,25.375534764993063,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,77,39
0.0,nan,0.0,3918.092287409838,270.0599044313366,-274.85990443133664,24.669949980998354,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,77,58
0.0,nan,0.0,5201.60527811306,270.0599044313366,-274.85990443133664,25.730657605003216,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,77,77
8.756619374072814,1.805030756887823e-15,0.6061061592500323,6485.1182688162835,159.56438575459882,-164.36438575459883,25.184587969997665,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,77,96
0.0,nan,0.0,84.22231517943224,349.134426304004,-353.9344263040041,25.106948332002503,True,0.2,1.2e-05,4e-05,1e-05,4e-05,1.2e-05,0.04,0.004,5e-07,1e-06,0.1,0.1,0.6,LFP,96,1
